Timestamp,What is your full name?,What is your student ID / USN?,What is your department / branch?,What is your semester?,How many hours per day do you use electronic gadgets (phone/tablet/laptop/gaming)?,How many social media platforms do you actively use?,Do you use gadgets late at night (after 10 PM)?,What is your current GPA / CGPA?,How many classes have you missed in the past month?,How many hours do you sleep per night on average?,"Do you experience sleep disturbances (difficulty sleeping, waking at night)?",How many hours per week do you spend on physical activity / exercise?,"On a scale of 1–10, how would you rate your current stress level?","On a scale of 1–5, how would you rate the quality of your social interactions?"
2025/03/01 09:04:00,Arpita Pradhane,2KD23CS001,CSE,4,7.8,1,Yes,7.58,8,7.3,No,1.3,8,1
2025/03/01 09:10:00,Mouneshwar Sutar,2KD23CS002,CSE,6,2.7,4,Yes,5.46,5,4.9,Yes,0.3,5,1
2025/03/01 09:18:00,Parasuram Sanadi,2KD23CS003,CSE,4,9.6,1,Yes,8.02,4,5.1,Yes,3.0,6,1
2025/03/01 09:24:00,Pratiksha Pawar,2KD23CS004,CSE,3,5.3,2,No,7.83,0,7.8,Yes,9.6,8,5
2025/03/01 09:31:00,Rohit Kumbhar,2KD23CS005,CSE,4,5.5,3,Yes,6.8,1,7.8,No,0.9,3,4
2025/03/01 09:36:00,Sneha Patil,2KD23CS006,CSE,3,8.8,1,Yes,8.0,2,4.7,Yes,3.4,5,5
2025/03/01 09:44:00,Akash Desai,2KD23CS007,CSE,5,4.8,1,Yes,8.75,2,7.1,No,2.1,3,5
2025/03/01 09:53:00,Priya Naik,2KD23CS008,CSE,3,7.8,5,Yes,5.47,1,6.5,Yes,0.4,6,3
2025/03/01 09:57:00,Vijay More,2KD23CS009,CSE,4,4.4,4,No,9.21,5,4.5,No,4.6,2,4
2025/03/01 10:06:00,Deepa Kulkarni,2KD23CS010,CSE,3,6.4,2,No,8.52,7,4.3,No,0.6,3,3
2025/03/01 10:12:00,Suresh Yadav,2KD23CS011,CSE,4,5.9,6,No,8.51,1,4.0,No,0.8,3,5
2025/03/01 10:21:00,Anita Sharma,2KD23CS012,CSE,6,5.6,1,No,8.5,2,6.7,Yes,1.4,8,2
2025/03/01 10:27:00,Ravi Kumar,2KD23CS013,CSE,5,4.6,2,Yes,8.07,4,6.9,Yes,1.9,7,3
2025/03/01 10:35:00,Meena Joshi,2KD23CS014,CSE,6,6.9,3,Yes,7.0,5,8.9,No,4.6,4,3
2025/03/01 10:38:00,Arun Patil,2KD23CS015,CSE,6,7.4,3,No,5.9,2,6.7,No,1.5,4,2
2025/03/01 10:47:00,Kavita Singh,2KD23CS016,CSE,4,9.8,3,No,7.77,1,5.2,No,1.6,1,1
2025/03/01 10:52:00,Nikhil Gupta,2KD23CS017,CSE,4,5.3,3,Yes,7.2,1,5.7,Yes,0.3,4,2
2025/03/01 11:00:00,Pooja Reddy,2KD23CS018,CSE,3,7.2,5,No,5.96,5,6.2,No,6.0,8,4
2025/03/01 11:08:00,Sanjay Nair,2KD23CS019,CSE,4,13.6,2,No,9.64,2,8.1,No,0.9,1,3
2025/03/01 11:17:00,Lata Verma,2KD23CS020,CSE,6,8.2,5,No,8.26,7,7.4,No,1.4,4,4
2025/03/01 11:21:00,Rajesh Bhat,2KD23CS021,ECE,5,8.4,3,No,6.53,5,5.8,Yes,3.7,6,1
2025/03/01 11:27:00,Sunita Rao,2KD23CS022,ECE,6,8.3,1,Yes,4.64,2,5.7,No,0.9,6,1
2025/03/01 11:34:00,Mahesh Iyer,2KD23CS023,ECE,3,1.9,3,No,5.74,4,4.9,No,0.6,10,2
2025/03/01 11:42:00,Usha Pillai,2KD23CS024,ECE,6,6.3,6,Yes,7.73,5,6.9,No,2.0,6,2
2025/03/01 11:49:00,Ganesh Hedge,2KD23CS025,ECE,5,1.0,4,No,6.61,4,6.2,Yes,2.0,10,3
2025/03/01 11:57:00,Rekha Kadam,2KD23CS026,ECE,3,9.6,6,No,5.02,3,6.0,Yes,0.3,9,2
2025/03/01 12:05:00,Arjun Pawar,2KD23CS027,ECE,3,12.1,3,No,7.4,4,7.7,No,5.0,5,4
2025/03/01 12:10:00,Neha Gaikwad,2KD23CS028,ECE,3,5.4,3,No,6.76,1,5.9,No,0.2,8,2
2025/03/01 12:18:00,Kiran Salvi,2KD23CS029,ECE,3,12.3,4,Yes,6.4,0,6.1,No,6.7,10,1
2025/03/01 12:23:00,Mamta Wagh,2KD23CS030,ECE,3,3.6,6,Yes,5.13,3,7.5,No,7.2,3,3
2025/03/01 12:30:00,Dinesh Lokhande,2KD23CS031,MECH,4,3.4,3,Yes,7.5,4,5.7,No,6.1,3,5
2025/03/01 12:37:00,Alka Thorat,2KD23CS032,MECH,6,8.7,3,No,5.39,4,5.8,Yes,4.9,10,2
2025/03/01 12:46:00,Vishal Mane,2KD23CS033,MECH,6,4.6,3,No,6.68,4,7.0,Yes,3.4,6,2
2025/03/01 12:55:00,Shital Bhosale,2KD23CS034,MECH,6,5.5,2,Yes,8.74,3,6.8,Yes,4.0,6,4
2025/03/01 13:00:00,Prasad Jadhav,2KD23CS035,MECH,5,10.3,4,No,8.87,6,7.5,No,1.0,3,1
2025/03/01 13:08:00,Vrushali Patil,2KD23CS036,CIVIL,6,4.1,4,No,6.81,2,3.2,No,0.3,6,4
2025/03/01 13:13:00,Omkar Chavan,2KD23CS037,CIVIL,6,6.2,4,No,4.0,3,3.2,No,1.2,5,3
2025/03/01 13:23:00,Madhuri Shirke,2KD23CS038,CIVIL,5,6.6,3,Yes,8.13,1,4.6,No,0.4,6,4
2025/03/01 13:30:00,Tejas Kulkarni,2KD23CS039,CIVIL,4,8.1,5,No,5.61,3,5.6,No,4.2,1,2
2025/03/01 13:34:00,Swati Deshmukh,2KD23CS040,CIVIL,5,9.2,5,Yes,4.91,5,7.4,Yes,0.1,5,5
